id,host_name,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,last_review,review_scores_rating
9731001,Timmy,within an hour,t,Gateway / Green Valley Ranch,Gateway - Green Valley Ranch,80249,39.79037,-104.77131,House,Private room,2,1,1,1,,$47.00 ,488,4/17/19,97
9734548,Vanessa,N/A,f,Washington Virginia Vale,Washington Virginia Vale,80246,39.70041,-104.93105,Apartment,Entire home/apt,3,1,1,1,,$60.00 ,2,5/29/16,100
9770909,Yousef,within an hour,t,Lincoln Park,Lincoln Park,80204,39.72805,-104.99715,House,Entire home/apt,2,1,1,1,,$90.00 ,351,4/17/19,95
9779508,Gina & Bryan,within a few hours,t,Washington Park,Washington Park,80209,39.70717,-104.96901,Guest suite,Entire home/apt,2,1,1,1,,$95.00 ,17,12/3/18,98
9795040,Craig,N/A,f,Five Points,Five Points,80205,39.75591,-104.99134,Apartment,Entire home/apt,3,1,0,1,,$60.00 ,2,1/2/16,100
9795062,Emily,N/A,f,Washington Virginia Vale,Washington Virginia Vale,80246,39.70316,-104.93162,Apartment,Entire home/apt,3,1,1,1,,$75.00 ,2,1/5/16,90
9796646,Elizabeth,N/A,f,West Highland,West Highland,80212,39.76669,-105.04319,House,Entire home/apt,6,1,2,2,,$82.00 ,17,9/9/17,95
9797489,David,within an hour,t,South Park Hill,South Park Hill,80220,39.74437,-104.93405,Guest suite,Entire home/apt,4,1,2,2,,$95.00 ,152,4/19/19,98
9813474,Jeff,within a few hours,t,Berkeley,Berkeley,80212,39.77826,-105.04418,Townhouse,Entire home/apt,2,1.5,1,1,,$150.00 ,59,11/11/18,98
9842499,Gina,within an hour,t,West Highland,West Highland,80211,39.76194,-105.03101,House,Private room,5,0.5,2,3,,$95.00 ,21,3/13/19,97
9856869,Louis,N/A,f,Five Points,Five Points,80205,39.75071,-104.98175,Apartment,Entire home/apt,4,1.5,2,2,,$150.00 ,0,,
9882316,Jeanne,within an hour,t,Clayton,Clayton,80205,39.76663,-104.94833,Guest suite,Entire home/apt,4,1,2,2,,$125.00 ,196,4/21/19,98
9882614,Nancy,within an hour,t,Whittier,Whittier,80205,39.75441,-104.96303,Apartment,Entire home/apt,4,1,2,2,,$229.00 ,48,4/16/19,100
9883770,Sarah,within an hour,t,South Park Hill,South Park Hill,80220,39.74184,-104.92072,House,Entire home/apt,7,2,3,3,,$150.00 ,134,4/5/19,99
9997587,Jon,within an hour,f,Jefferson Park,Jefferson Park,80211,39.75415,-105.02172,Bungalow,Entire home/apt,6,1,2,3,,$120.00 ,41,4/21/19,97
10008502,Greg,within a few hours,t,Sloane Lake,Sloan Lake,80211,39.75385,-105.02717,Townhouse,Entire home/apt,4,1,1,2,,$85.00 ,28,3/26/19,99
10015153,Megan,within an hour,f,Speer,Speer,80203,39.71608,-104.98215,House,Private room,2,1,1,1,,$50.00 ,70,4/14/19,92
10017182,Philip,N/A,f,Sunnyside,Sunnyside,80211,39.77687,-105.02126,Apartment,Entire home/apt,2,1,1,1,,$48.00 ,6,3/31/16,93
10021154,Jeffrey,within an hour,t,Athmar Park,Athmar Park,80223,39.70369,-105.01131,House,Entire home/apt,2,1,3,4,,$159.00 ,0,,
10037506,Brianne,N/A,f,Sunnyside,Sunnyside,80211,39.77902,-105.02231,House,Entire home/apt,4,1,2,2,,$145.00 ,5,7/12/16,84
10040421,Lori,within a few hours,f,City Park,City Park,80206,39.74223,-104.94814,House,Entire home/apt,6,1,2,2,,$115.00 ,102,12/30/17,84
10040454,Katie,N/A,f,LoDo,Union Station,80202,39.75401,-104.99923,Loft,Entire home/apt,2,1.5,1,1,,$195.00 ,0,,
10061459,Emily,within an hour,t,Barnum West,Barnum West,80219,39.7211,-105.0427,Guest suite,Entire home/apt,4,1,1,1,,$55.00 ,109,4/15/19,97
10085578,Garett,N/A,f,Five Points,Five Points,80205,39.76101,-104.97863,Condominium,Entire home/apt,5,2,2,2,,$125.00 ,0,,
10088031,Dale,within an hour,f,Overland,Overland,80210,39.67003,-104.98886,Apartment,Entire home/apt,4,1,2,4,,$125.00 ,93,4/8/19,91
10131583,Matthew,within an hour,t,Clayton,Clayton,80205,39.76402,-104.9498,Guest suite,Entire home/apt,4,1,2,2,,$75.00 ,124,4/22/19,98
10140249,Angelica,within an hour,t,West Highland,West Highland,80212,39.76737,-105.04328,Townhouse,Entire home/apt,2,1,1,1,,$90.00 ,19,4/22/19,97
10161676,Nancy,within an hour,t,Virginia Village,Virginia Village,80222,39.69071,-104.9266,House,Entire home/apt,4,1,2,2,,$105.00 ,63,4/7/19,99
10190798,Richard,N/A,f,Sunnyside,Sunnyside,80211,39.77529,-105.0117,Townhouse,Entire home/apt,4,1,2,2,,$90.00 ,64,2/8/17,90
10229493,Michael,N/A,f,Jefferson Park,Jefferson Park,80211,39.75696,-105.01902,Townhouse,Entire home/apt,2,1,1,1,,$99.00 ,0,,
